codigo,descripcion
COD001,Descripción del producto 1
COD002,Descripción del producto 2
COD003,Descripción del producto 3
COD004,Descripción del producto 4
COD005,Descripción del producto 5
COD006,Descripción del producto 6
COD007,Descripción del producto 7
COD008,Descripción del producto 8
COD009,Descripción del producto 9
COD010,Descripción del producto 10
COD011,Descripción del producto 11
COD012,Descripción del producto 12
COD013,Descripción del producto 13
COD014,Descripción del producto 14
COD015,Descripción del producto 15
COD016,Descripción del producto 16
COD017,Descripción del producto 17
COD018,Descripción del producto 18
COD019,Descripción del producto 19
COD020,Descripción del producto 20
COD021,Descripción del producto 21
COD022,Descripción del producto 22
COD023,Descripción del producto 23
COD024,Descripción del producto 24
COD025,Descripción del producto 25
COD026,Descripción del producto 26
COD027,Descripción del producto 27
COD028,Descripción del producto 28
COD029,Descripción del producto 29
COD030,Descripción del producto 30
COD031,Descripción del producto 31
COD032,Descripción del producto 32
COD033,Descripción del producto 33
COD034,Descripción del producto 34
COD035,Descripción del producto 35
COD036,Descripción del producto 36
COD037,Descripción del producto 37
COD038,Descripción del producto 38
COD039,Descripción del producto 39
COD040,Descripción del producto 40
COD041,Descripción del producto 41
COD042,Descripción del producto 42
COD043,Descripción del producto 43
COD044,Descripción del producto 44
COD045,Descripción del producto 45
COD046,Descripción del producto 46
COD047,Descripción del producto 47
COD048,Descripción del producto 48
COD049,Descripción del producto 49
COD050,Descripción del producto 50
COD051,Descripción del producto 51
COD052,Descripción del producto 52
COD053,Descripción del producto 53
COD054,Descripción del producto 54
COD055,Descripción del producto 55
COD056,Descripción del producto 56
COD057,Descripción del producto 57
COD058,Descripción del producto 58
COD059,Descripción del producto 59
COD060,Descripción del producto 60
COD061,Descripción del producto 61
COD062,Descripción del producto 62
COD063,Descripción del producto 63
COD064,Descripción del producto 64
COD065,Descripción del producto 65
COD066,Descripción del producto 66
COD067,Descripción del producto 67
COD068,Descripción del producto 68
COD069,Descripción del producto 69
COD070,Descripción del producto 70
COD071,Descripción del producto 71
COD072,Descripción del producto 72
COD073,Descripción del producto 73
COD074,Descripción del producto 74
COD075,Descripción del producto 75
COD076,Descripción del producto 76
COD077,Descripción del producto 77
COD078,Descripción del producto 78
COD079,Descripción del producto 79
COD080,Descripción del producto 80
COD081,Descripción del producto 81
COD082,Descripción del producto 82
COD083,Descripción del producto 83
COD084,Descripción del producto 84
COD085,Descripción del producto 85
COD086,Descripción del producto 86
COD087,Descripción del producto 87
COD088,Descripción del producto 88
COD089,Descripción del producto 89
COD090,Descripción del producto 90
COD091,Descripción del producto 91
COD092,Descripción del producto 92
COD093,Descripción del producto 93
COD094,Descripción del producto 94
COD095,Descripción del producto 95
COD096,Descripción del producto 96
COD097,Descripción del producto 97
COD098,Descripción del producto 98
COD099,Descripción del producto 99
COD100,Descripción del producto 100
